69,0,2024,6,20,7,0,300,321
69,0,2024,6,20,9,30,318,305
71,1,2024,6,20,19,0,302,316
71,1,2024,6,20,13,30,300,317
72,2,2024,6,20,12,0,300,321
72,2,2024,6,20,22,0,315,300
66,3,2024,6,20,22,15,310,321
66,3,2024,6,20,19,20,300,321
76,4,2024,6,20,10,30,601,610
76,4,2024,6,20,12,50,602,608
80,5,2024,6,20,14,25,610,601
80,5,2024,6,20,16,0,601,610
80,5,2024,6,20,17,30,609,601
85,6,2024,6,20,19,0,603,610
26,7,2024,6,20,8,30,101,128
26,7,2024,6,20,10,0,128,110
26,7,2024,6,20,13,50,101,120
26,7,2024,6,20,18,0,128,101
27,8,2024,6,20,8,40,101,125
27,8,2024,6,20,10,40,124,103
30,9,2024,6,20,11,50,105,128
30,9,2024,6,20,13,40,102,120
30,9,2024,6,20,16,0,128,101
64,10,2024,6,20,16,0,110,128
64,10,2024,6,20,14,40,128,103
63,10,2024,6,20,17,50,126,110
63,11,2024,6,20,20,0,101,128
63,11,2024,6,20,22,30,128,101
0,12,2024,6,20,7,30,201,227
0,12,2024,6,20,9,0,227,201
0,12,2024,6,20,12,30,227,210
0,12,2024,6,20,15,0,205,220
20,13,2024,6,20,12,0,201,220
20,13,2024,6,20,14,50,227,201
20,13,2024,6,20,16,0,205,220
4,14,2024,6,20,20,30,227,201
4,14,2024,6,20,22,0,201,227
36,15,2024,6,20,8,0,401,423
36,15,2024,6,20,10,0,420,410
36,15,2024,6,20,12,30,401,415
36,15,2024,6,20,20,0,423,401
40,16,2024,6,20,15,30,401,423
40,16,2024,6,20,12,0,420,405
40,16,2024,6,20,18,0,401,420
40,16,2024,6,20,20,0,423,401
44,17,2024,6,20,18,20,405,418
44,17,2024,6,20,20,50,423,401
49,18,2024,6,20,12,0,491,496
49,18,2024,6,20,15,0,496,491
50,19,2024,6,20,8,20,491,496
50,19,2024,6,20,22,0,496,491
10,20,2024,6,20,7,30,501,530
10,20,2024,6,20,10,0,527,510
10,20,2024,6,20,12,30,501,520
10,20,2024,6,20,17,0,530,501
10,20,2024,6,20,20,0,501,519
89,21,2024,6,20,12,0,501,530
89,21,2024,6,20,14,30,530,505
89,21,2024,6,20,16,50,501,525
89,21,2024,6,20,20,0,530,501
